	0	1	2
00554-21	1542.2953242455753	676.8537115348034	1277.8222074705193
00554-22	1541.6520852615554	678.3838159773779	1279.9853166303346
00554-23	1540.8137998967798	680.377886910038	1281.6451286666054
00554-24	1539.8375959135262	682.700031694081	1282.6885301320287
00555-01	1538.79	685.192	1350.044414941039
00555-02	1537.7424040864737	687.683968305919	1349.6885301320287
00555-03	1536.7662001032202	690.006113089962	1348.6451286666054
00555-04	1535.9279147384445	692.0001840226221	1346.9853166303346
00555-05	1535.2846757544246	693.5302884651966	1344.8222074705193
00555-06	1534.8803188249183	694.492152328541	1342.303213501694
00555-07	1534.7424002064402	694.8202261799239	1339.6
00555-08	1534.8803188249183	694.492152328541	1336.8967864983058
00555-09	1535.2846757544246	693.5302884651966	1334.3777925294805
00555-10	1535.9279147384445	692.0001840226221	1332.2146833696652
00555-11	1536.7662001032202	690.006113089962	1330.5548713333944
00555-12	1537.7424040864737	687.683968305919	1329.511469867971
00555-13	1538.79	685.192	1329.155585058961
00555-14	1539.8375959135262	682.700031694081	1329.511469867971
00555-15	1540.8137998967798	680.377886910038	1330.5548713333944
00555-16	1541.6520852615554	678.3838159773779	1332.2146833696652
00555-17	1542.2953242455753	676.8537115348034	1334.3777925294805
00555-18	1542.6996811750817	675.891847671459	1336.8967864983058
00555-19	1542.8375997935598	675.5637738200761	1339.6
00555-20	1542.6996811750817	675.891847671459	1342.303213501694
00555-21	1542.2953242455753	676.8537115348034	1344.8222074705193
00555-22	1541.6520852615554	678.3838159773779	1346.9853166303346
00555-23	1540.8137998967798	680.377886910038	1348.6451286666054
00555-24	1539.8375959135262	682.700031694081	1349.6885301320287
00604-01	1512.16	748.524	1216.044414941039
00604-02	1511.1124040864738	751.015968305919	1215.6885301320287
00604-03	1510.1362001032203	753.338113089962	1214.6451286666054
00604-04	1509.2979147384447	755.3321840226221	1212.9853166303346
00604-05	1508.6546757544247	756.8622884651966	1210.8222074705193
00604-06	1508.2503188249184	757.824152328541	1208.303213501694
00604-07	1508.1124002064403	758.1522261799239	1205.6
00604-08	1508.2503188249184	757.824152328541	1202.8967864983058
00604-09	1508.6546757544247	756.8622884651966	1200.3777925294805
00604-10	1509.2979147384447	755.3321840226221	1198.2146833696652
00604-11	1510.1362001032203	753.338113089962	1196.5548713333944
00604-12	1511.1124040864738	751.015968305919	1195.511469867971
00604-13	1512.16	748.524	1195.155585058961
00604-14	1513.2075959135263	746.032031694081	1195.511469867971
00604-15	1514.1837998967799	743.709886910038	1196.5548713333944
00604-16	1515.0220852615555	741.7158159773779	1198.2146833696652
00604-17	1515.6653242455754	740.1857115348034	1200.3777925294805
00604-18	1516.0696811750818	739.223847671459	1202.8967864983058
00604-19	1516.20759979356	738.8957738200761	1205.6
00604-20	1516.0696811750818	739.223847671459	1208.303213501694
00604-21	1515.6653242455754	740.1857115348034	1210.8222074705193
00604-22	1515.0220852615555	741.7158159773779	1212.9853166303346
00604-23	1514.1837998967799	743.709886910038	1214.6451286666054
00604-24	1513.2075959135263	746.032031694081	1215.6885301320287
00605-01	1512.16	748.524	1283.044414941039
00605-02	1511.1124040864738	751.015968305919	1282.6885301320287
00605-03	1510.1362001032203	753.338113089962	1281.6451286666054
00605-04	1509.2979147384447	755.3321840226221	1279.9853166303346
00605-05	1508.6546757544247	756.8622884651966	1277.8222074705193
00605-06	1508.2503188249184	757.824152328541	1275.303213501694
00605-07	1508.1124002064403	758.1522261799239	1272.6
00605-08	1508.2503188249184	757.824152328541	1269.8967864983058
00605-09	1508.6546757544247	756.8622884651966	1267.3777925294805
00605-10	1509.2979147384447	755.3321840226221	1265.2146833696652
00605-11	1510.1362001032203	753.338113089962	1263.5548713333944
00605-12	1511.1124040864738	751.015968305919	1262.511469867971
00605-13	1512.16	748.524	1262.155585058961
00605-14	1513.2075959135263	746.032031694081	1262.511469867971
00605-15	1514.1837998967799	743.709886910038	1263.5548713333944
00605-16	1515.0220852615555	741.7158159773779	1265.2146833696652
00605-17	1515.6653242455754	740.1857115348034	1267.3777925294805
00605-18	1516.0696811750818	739.223847671459	1269.8967864983058
00605-19	1516.20759979356	738.8957738200761	1272.6
00605-20	1516.0696811750818	739.223847671459	1275.303213501694
00605-21	1515.6653242455754	740.1857115348034	1277.8222074705193
00605-22	1515.0220852615555	741.7158159773779	1279.9853166303346
00605-23	1514.1837998967799	743.709886910038	1281.6451286666054
00605-24	1513.2075959135263	746.032031694081	1282.6885301320287
00606-01	1512.16	748.524	1350.044414941039
00606-02	1511.1124040864738	751.015968305919	1349.6885301320287
00606-03	1510.1362001032203	753.338113089962	1348.6451286666054
00606-04	1509.2979147384447	755.3321840226221	1346.9853166303346
00606-05	1508.6546757544247	756.8622884651966	1344.8222074705193
00606-06	1508.2503188249184	757.824152328541	1342.303213501694
00606-07	1508.1124002064403	758.1522261799239	1339.6
00606-08	1508.2503188249184	757.824152328541	1336.8967864983058
00606-09	1508.6546757544247	756.8622884651966	1334.3777925294805
00606-10	1509.2979147384447	755.3321840226221	1332.2146833696652
00606-11	1510.1362001032203	753.338113089962	1330.5548713333944
00606-12	1511.1124040864738	751.015968305919	1329.511469867971
00606-13	1512.16	748.524	1329.155585058961
00606-14	1513.2075959135263	746.032031694081	1329.511469867971
00606-15	1514.1837998967799	743.709886910038	1330.5548713333944
00606-16	1515.0220852615555	741.7158159773779	1332.2146833696652
00606-17	1515.6653242455754	740.1857115348034	1334.3777925294805
00606-18	1516.0696811750818	739.223847671459	1336.8967864983058
00606-19	1516.20759979356	738.8957738200761	1339.6
00606-20	1516.0696811750818	739.223847671459	1342.303213501694
00606-21	1515.6653242455754	740.1857115348034	1344.8222074705193
00606-22	1515.0220852615555	741.7158159773779	1346.9853166303346
00606-23	1514.1837998967799	743.709886910038	1348.6451286666054
00606-24	1513.2075959135263	746.032031694081	1349.6885301320287
00655-01	1477.66	814.519	1177.690249077797
