00237-00	1663.34	283.259	491.2
00238-00	1663.34	283.259	569.3
00239-00	1663.34	283.259	636.3
00240-00	1663.34	283.259	703.3
00241-00	1663.34	283.259	781.4
00242-00	1663.34	283.259	848.4
00243-00	1663.34	283.259	915.4
00244-00	1663.34	283.259	993.5
00245-00	1663.34	283.259	1060.5
00246-00	1663.34	283.259	1127.5
00247-00	1663.34	283.259	1205.6
00248-00	1663.34	283.259	1272.6
00249-00	1663.34	283.259	1339.6
00250-00	1663.34	283.259	1417.7
00251-00	1663.34	283.259	1484.7
00252-00	1663.34	283.259	1551.7
00253-00	1663.34	283.259	1629.8
00254-00	1663.34	283.259	1696.8
00255-00	1663.34	283.259	1763.8
00256-00	1647.65	350.144	-1763.8
00257-00	1647.65	350.144	-1696.8
00258-00	1647.65	350.144	-1629.8
00259-00	1647.65	350.144	-1551.7
00260-00	1647.65	350.144	-1484.7
00261-00	1647.65	350.144	-1417.7
00262-00	1647.65	350.144	-1339.6
00263-00	1647.65	350.144	-1272.6
00264-00	1647.65	350.144	-1205.6
00265-00	1647.65	350.144	-1127.5
00266-00	1647.65	350.144	-1060.5
00267-00	1647.65	350.144	-993.5
00268-00	1647.65	350.144	-915.4
00269-00	1647.65	350.144	-848.4
00270-00	1647.65	350.144	-781.4
00271-00	1647.65	350.144	-703.3
00272-00	1647.65	350.144	-636.3
00273-00	1647.65	350.144	-569.3
00274-00	1647.65	350.144	-491.2
00275-00	1647.65	350.144	-424.2
00276-00	1647.65	350.144	-357.2
00277-00	1647.65	350.144	-279.1
00278-00	1647.65	350.144	-212.1
00279-00	1647.65	350.144	-145.1
00280-00	1647.65	350.144	-67.0
00281-00	1647.65	350.144	0.0
00282-00	1647.65	350.144	67.0
00283-00	1647.65	350.144	145.1
00284-00	1647.65	350.144	212.1
00285-00	1647.65	350.144	279.1
00286-00	1647.65	350.144	357.2
00287-00	1647.65	350.144	424.2
00288-00	1647.65	350.144	491.2
00289-00	1647.65	350.144	569.3
00290-00	1647.65	350.144	636.3
00291-00	1647.65	350.144	703.3
