x	y	z	feature_id	adjacent_bolt_dist
1570.1489820574964	580.8706467523799	1338.7970094668526	00453-19	8.036371663931432
1570.444623694936	579.7152915075567	1346.7444002211387	00453-20	7.946120814282918
1571.7766085530188	576.9940278414404	1354.0902409757762	00453-21	7.497300709163224
1573.6363419009936	572.8602502460938	1360.062074244569	00453-22	7.772974928021408
1575.9827210601493	567.0838288160955	1364.703905729682	00453-23	7.750596806889561
1579.233824553151	560.7400743180953	1367.7467425327097	00453-24	7.722821989860783
1556.516101248402	615.7940554791021	1236.209816241529	00502-01	7.985072196205937
1559.6451774505533	608.5904181829776	1234.7683344325437	00502-02	7.8810023925380825
1562.6238767256038	602.0593761101469	1231.5151761543593	00502-03	7.574321270173591
1564.2230124479013	596.211708426627	1226.9744834419428	00502-04	7.664576513640064
1566.056627306044	591.813194088662	1220.9714291106745	00502-05	7.669622995747622
1567.5162299141175	589.2152796465874	1213.9043563308692	00502-06	7.8664247309964885
1567.7498661673458	588.0933957115569	1206.1218484711924	00502-07	7.793946598908225
1567.5801378737629	589.1634508183502	1198.403572889081	00502-08	7.634159468039743
1566.5266288813145	592.0435054707801	1191.4124503193282	00502-09	7.850536858912581
1565.0079182249565	596.4571042400647	1185.1001929719778	00502-10	7.772903487885273
1562.7111973729036	602.121708583244	1180.2985932807333	00502-11	7.724781064921314
1560.147961974583	608.8445420550347	1177.4869075044892	00502-12	7.806607571678417
1557.1456443697512	615.9655662634627	1176.382269554351	00502-13	7.843895718644912
1554.3378413273213	623.2114164613341	1177.4502569278272	00502-14	7.563456644919065
1551.5615417116476	629.5777215550328	1180.4449516230386	00502-15	7.599698888496487
1548.6991775210608	634.8746621864188	1185.0822692080044	00502-16	7.786212548672276
1546.758209380007	639.196386393107	1191.2613021752122	00502-17	7.655788343050199
1545.4223717448297	642.0353081493579	1198.2446506720232	00502-18	7.624814420198354
1544.8747243038256	643.0346492182919	1205.7838279912517	00502-19	8.03058940971728
1546.2457491699006	642.4115452051693	1213.6719455406355	00502-20	8.03012737112541
1546.4011689757824	639.3464917738714	1221.092473671687	00502-21	7.810779779753228
1548.192699356685	634.8452007098364	1227.2192247208927	00502-22	7.5341180117256945
1550.8799784103944	629.4108086259027	1231.6923498231208	00502-23	7.880672732654524
1553.4630281167629	622.7588384558853	1235.0366210129068	00502-24	7.694533416997319
1556.1771142057796	615.8844120065316	1302.5468790695907	00503-01	7.707987634877907
1559.2908263507113	608.9470722678434	1301.2854562982914	00503-02	7.769714070697084
1562.355019128358	602.6082036811712	1297.9994367605061	00503-03	7.636338546358978
1565.2735092113787	597.1303241787352	1293.550963068698	00503-04	7.759178348064805
1566.9926387092041	592.6524693142527	1287.4519255856671	00503-05	7.769617165083968
1567.2245441853581	589.6879315818759	1280.2738557353932	00503-06	7.700063845439897
1568.0279078854778	589.0024560762502	1272.6465552089705	00503-07	7.99067738153041
1566.5951733057427	589.2854949546595	1264.7904693112068	00503-08	7.504201146853803
1565.2513168555643	591.875970167998	1257.8769663739952	00503-09	7.8165955377384435
1563.3828153978527	596.2243479008274	1251.6560758271557	00503-10	7.548175820695084
1560.7517205165225	601.8013566633638	1247.3029997643978	00503-11	7.87703077714639
1558.5813589670136	608.7072382687277	1244.1972077782498	00503-12	7.744371013927767
1555.7354569847855	615.8257597120612	1243.1004959794093	00503-13	7.634124732623301
1552.5388522398937	622.6916581641158	1244.0601922773392	00503-14	7.87344285998195
1549.1151963876653	629.1255030267635	1247.039340370047	00503-15	7.746804342261601
1547.752749258683	635.1421278741207	1251.725163753848	00503-16	7.790573629040627
1545.7639912205113	639.4546988544023	1257.9008912798276	00503-17	7.655399011319599
1544.6288769703287	642.2264075705933	1264.9460513528236	00503-18	7.836097179102176
1544.665385678942	643.5002486636201	1272.677830901171	00503-19	7.719314632903366
1545.563176461263	642.5512063211652	1280.2857944095722	00503-20	7.895733147010281
1546.8596373340001	639.6673147050947	1287.5207761152171	00503-21	7.621635623966783
1548.1114307021594	635.2027972676215	1293.5697782642042	00503-22	7.7214675450743835
1550.2532747788607	629.4132646999817	1298.2081915326587	00503-23	7.743174240354763
1553.0228262476185	622.8901530911328	1301.328343278471	00503-24	7.779123995779236
1555.4953794465757	616.3068043373394	1368.5469277076588	00504-01	7.911459142509203
1558.5811080059157	609.1355490831863	1367.2653025278778	00504-02	7.824613597279378
1560.7014740499576	602.2516277230434	1364.2091198609924	00504-03	7.643181753602441
1562.9961877437854	596.5849332172934	1359.622063096523	00504-04	7.569431265155889
1565.461760233164	592.4183826643307	1353.8033778096953	00504-05	7.842521419283635
1566.3325522874097	589.6492290904149	1346.5178680887318	00504-06	7.9106953057908775
1565.8390682739719	588.8028933448628	1338.668072578316	00504-07	7.609638673296983
1566.3215806021722	590.0815877223661	1331.182170943896	00504-08	7.513803410462984
1565.1373048848116	592.8022125091409	1324.2790605227929	00504-09	7.681450572107007
1563.6576234194258	596.9950744832211	1318.0152650185455	00504-10	7.895012586581389
1561.917663806993	603.0644818167508	1313.275427583667	00504-11	7.612927899542196
1558.8090563195287	609.5487613140652	1310.7759576212115	00504-12	7.570631597574312
1555.8734988413353	616.4776330350895	1309.9466797715115	00504-13	7.652457314137268
1553.121601550538	623.5575945292908	1310.87474738016	00504-14	7.352158831885632
1550.6498686618766	629.97212716606	1313.482149740404	00504-15	7.950049145525807
1548.2316883414885	635.8641130242632	1318.2403203974	00504-16	7.289928583452327
1546.5203784628848	639.9315120064584	1324.0429700310472	00504-17	8.085333904426447
1544.8277919298662	642.4777471438708	1331.527919048864	00504-18	7.661284590351141
1545.1691939303462	643.9681881959043	1339.0350697546135	00504-19	7.896650820005796
1544.1149756085897	642.3079794420318	1346.6829076710926	00504-20	7.810801791785858
1545.8492820510737	639.6788672435764	1353.8305348887122	00504-21	7.715469887635124
1548.088622269292	635.5711509567086	1359.9657201247646	00504-22	7.464572207631948
1550.0814503949	629.8800173519355	1364.3656601922382	00504-23	7.5429880996911765
1552.6094681399586	623.4296779417247	1367.348765494743	00504-24	7.778136354048347
1529.7027220565014	680.8952714221268	1236.6292184480808	00553-01	7.922138101677217
1532.84483292092	673.7532256185559	1235.2586006467066	00553-02	7.735162384573129
1535.3380174368247	667.1282932673283	1232.139780448775	00553-03	7.7534457174976295
1538.0688367118237	661.6357506635334	1227.3973630982064	00553-04	7.75411678548133
1539.4297711513427	656.9916498381846	1221.3387731551413	00553-05	7.849489865702259
1541.1727394787952	654.5810249349722	1214.0747907668592	00553-06	7.597123050783746
1541.3942216112296	653.5194852855442	1206.5554584902236	00553-07	7.919773237418136
1540.492845450159	654.0815302543173	1198.7072462988099	00553-08	7.769305063553457
1539.6541686251635	656.8152057986753	1191.4832764503158	00553-09	7.726738419448626
1537.9468845829365	661.3800650352005	1185.4874672511792	00553-10	7.746782176380801
1535.3840703403826	667.0122986315108	1180.8267203192972	00553-11	7.818723589715289
1533.228788803652	673.9277991059726	1177.8834138015322	00553-12	7.727365997087199
1529.8139654747463	680.7676882064625	1176.757765553499	00553-13	7.783354723112788
1527.1134367969228	687.9632480005178	1177.9872674267103	00553-14	7.613577547787283
1523.6583571581607	694.1424581275791	1180.7884011207002	00553-15	7.989536796220345
1520.946064944424	699.8954437029354	1185.6236183997069	00553-16	7.642129603002142
1518.861333523081	704.0442913697283	1191.6934703589966	00553-17	7.596142367853884
1517.7453532806492	706.7108173623816	1198.718113132954	00553-18	7.8871592210178685
1517.6507498735077	707.8081504844552	1206.527990903588	00553-19	7.805314241685192
1518.0946737903346	707.0786450230736	1214.2864497550183	00553-20	7.714673073191336
1519.838994024531	704.6553819326298	1221.3999104838963	00553-21	7.8139429816789985
1521.4841805585254	700.0690613647221	1227.5086525669835	00553-22	7.8518759102230336
1523.8037220825913	694.3096406939435	1232.314977146606	00553-23	7.732942810859197
1526.6108749226357	687.7509988421767	1235.2986853275283	00553-24	7.637462637689611
1530.398476409891	681.2550805612666	1302.8729625211427	00554-01	7.80787925763798
1533.2691349775544	674.1128928196205	1301.5647377113971	00554-02	7.975028561743185
1535.3498696244465	666.9979192457776	1298.6238577523782	00554-03	7.522394079310999
1537.801905429495	661.5713730186529	1294.0274973291637	00554-04	7.772769456450196
1538.8187174187851	656.8607120867689	1287.9289965309033	00554-05	7.912443537141267
1540.3937569274503	654.3698485426381	1280.5858628620183	00554-06	7.624517124461488
1540.6201056708749	653.4221363251262	1273.0238611970929	00554-07	7.78795795523481
1539.7236714772703	654.0952743872353	1265.3170084024443	00554-08	7.679004750670281
1539.3176375406133	657.188849125504	1258.3004532831678	00554-09	7.829440197423463
1537.375543647236	661.5150892272511	1252.070521365693	00554-10	7.596512653747853
1534.6422209445054	666.9155444302867	1247.480201649018	00554-11	7.83160121701895
1532.82693638848	673.9601163091878	1244.5797315757259	00554-12	7.721605554663512
1529.7859867068203	681.0007105889426	1243.6820403352049	00554-13	7.618478603550537
1526.5157722828494	687.8157193102251	1244.6320771675723	00554-14	7.693415338355425
1523.314172232994	694.1508942046066	1247.5992232284877	00554-15	7.836189579278201
1520.7664069183572	699.8287840497302	1252.3611898317479	00554-16	7.877243174297141
1518.558550536778	703.9283281209392	1258.7149342894315	00554-17	7.549439739198174
1517.6302322727936	706.7358168856553	1265.6611758928118	00554-18	7.673162215913526
1517.878912953844	708.1825605166553	1273.192610628422	00554-19	8.104166179787244
1518.2566528277832	707.1570355670665	1281.222748898403	00554-20	7.653744451449773
1518.7850100030994	704.0122575942432	1288.1805513046975	00554-21	7.763854381820883
1520.738057514592	699.6832253384289	1294.3224174712702	00554-22	7.68171542934265
1522.9609745087769	693.9422196658314	1298.9167885753027	00554-23	7.587878158527158
1526.5101688405025	687.9561147888085	1301.9409682898008	00554-24	7.803294734924816
1528.677679746558	680.8219200692606	1369.2945980548357	00555-01	7.713094411987209
1531.74992580968	673.8472129505909	1368.1086005233722	00555-02	7.7712553221417755
1534.7915149695784	667.4027290466253	1365.008637317811	00555-03	7.60445821404835
1536.8499031579602	661.6447644356798	1360.487944192389	00555-04	7.642096523461054
1538.591777562161	657.3361926950321	1354.4213370360308	00555-05	7.766409681110481
1539.0491776408485	654.4021970858412	1347.2450166510346	00555-06	7.663361284996707
1540.4531532687313	653.9311995132067	1339.7260991819257	00555-07	8.128270326998177
1540.098357047622	654.949567081825	1331.6696839961603	00555-08	7.543332956899494
1539.024858894518	657.5580044402302	1324.6735759094306	00555-09	7.563395805959951
1537.2279980117905	661.7321767356441	1318.6277068458521	00555-10	7.814240668228932
1534.6622102337153	667.3580758643968	1313.8498046605848	00555-11	7.681021987959079
1532.0013504138167	673.9265865933788	1310.8879487218856	00555-12	7.660625495977753
1529.4851347487331	681.0582995621681	1309.666264700866	00555-13	7.828699250367197
1526.003364755717	687.9944568827028	1310.6936552270174	00555-14	7.880089333459565
1522.7472708510472	694.4118415089948	1313.9047041125853	00555-15	7.771756077306862
1520.7441019294808	700.2017683833081	1318.6863621500165	00555-16	7.7569496643661004
1518.5918793275723	704.2762123074698	1324.9263231015134	00555-17	7.514038467278615
1517.637893665906	707.3254383861022	1331.727271988725	00555-18	7.727910306690577
1517.8208067458993	708.5352414596236	1339.3577055961107	00555-19	7.988365007753345
1517.8471202489945	707.4050415824039	1347.265671917118	00555-20	7.648892630797893
1518.5931427197825	704.489902163014	1354.2978103625749	00555-21	7.738738477403545
1520.3800127481059	700.0320371756759	1360.365973880328	00555-22	7.730812291513905
1521.9919878311941	693.9732563242145	1364.8890446969403	00555-23	7.86211798134432
1524.9894902271708	687.494466099121	1368.1834575062169	00555-24	7.704560063385074
1502.5488910357153	743.6156091288656	1235.9584670328702	00604-01	7.895669576994923
1505.2045592542318	736.2421927071437	1234.998386487225	00604-02	8.060182869079275
1507.9220343537495	729.3347060519602	1231.8569688016946	00604-03	7.682465041576763
1510.2895383146358	723.7968457192433	1227.0875561496423	00604-04	7.96470381737705
1513.1295702756693	720.0439592561972	1220.6620936328786	00604-05	7.4887491703211655
1513.6918336586723	717.0379758753841	1213.8262112510354	00604-06	7.892753985187573
1513.9779512928114	715.8315190227812	1206.0314589116126	00604-07	7.958703831979206
1513.792630383879	716.8516143793995	1198.1405763051307	00604-08	7.784595403637226
1512.4628610043774	719.4677635722466	1190.9303472937584	00604-09	7.514297168465946
1510.6551028849753	723.6836087026948	1184.9785977733377	00604-10	7.864596519383247
1508.5086422471902	729.4857887080589	1180.122746423833	00604-11	7.720624794675672
1505.2095361586187	735.900272267802	1177.3698666774046	00604-12	7.832998428556617
1501.973472297616	742.9539603175294	1176.3072096459898	00604-13	7.689291931385893
1498.7226987004203	749.8059298243703	1177.5753560504618	00604-14	7.813277364381258
1495.6312537378951	756.3699876918365	1180.4742205745445	00604-15	7.533766548536212
1492.9473763182557	761.6889835043519	1185.0853727028782	00604-16	7.488177224849332
1490.4176668857745	765.5480586984158	1190.9829066777297	00604-17	8.02236238719716
1489.2042178794215	768.5724178968989	1198.3136018165994	00604-18	7.886966678702145
1489.2431846501368	769.7381101929783	1206.1138509441978	00604-19	7.7692928684862315
1489.7569804632597	768.7435795463533	1213.8020779395233	00604-20	7.931849976201099
1491.147480112367	766.0689629599386	1221.13877889339	00604-21	7.628097502067033
1493.338832725268	761.9561660773878	1227.1778804018807	00604-22	7.458617991262045
1495.7866523350035	756.6000475872792	1231.7551237008204	00604-23	7.698880499929411
1498.8955870444634	750.2970749659087	1234.8983421244689	00604-24	7.688464125264851
1502.128806466383	743.1130000379836	1302.802414961575	00605-01	7.938126127975869
1505.6120313177357	736.1381713544661	1301.3081740525674	00605-02	7.565870067528318
1508.3829768222067	729.7512978693359	1298.3464012768613	00605-03	7.665217254852829
1510.8549866885637	724.08902528581	1293.8095089512074	00605-04	7.576973432188085
1513.0782837203562	719.9707152329997	1287.8507339924236	00605-05	7.903456668139555
1514.6000324303122	717.3012030735987	1280.569071201569	00605-06	7.88708622417417
1514.7087250167615	716.3674554895827	1272.738207234001	00605-07	7.759704302965288
1514.3067516115766	717.2308790304628	1265.0371730151421	00605-08	7.7861488031290484
1512.1625424435097	719.1813594702944	1257.8106865741474	00605-09	7.959761365749142
1511.2712365570753	724.0972038570176	1251.6140867983024	00605-10	7.738929251953421
1508.5921767739221	729.6608502867086	1246.9493785490743	00605-11	7.3987188312034
