x	y	z	feature_id
1526.5157722828494	687.8157193102251	1244.6320771675723	00554-14
1567.7498661673458	588.0933957115569	1206.1218484711924	00502-07
1482.3768979386045	817.5748409427518	1206.5982923314575	00655-00
1344.1587623273078	1000.8021078876845	1294.8444770968786	00809-22
1476.3486408074775	796.4570366177668	1232.4631621008136	00655-03
1589.5079366158645	533.8969898773872	1294.563854138938	00452-04
1408.348006422611	904.9229291547081	1325.0062353480084	00759-09
1447.86266700595	842.9884309774645	1331.5651133518195	00708-08
1383.3826456122229	944.2565982891706	1318.8919746101335	00759-16
1510.3096079067323	724.1060523273351	1318.340171935806	00606-10
1513.0782837203562	719.9707152329997	1287.8507339924236	00605-05
1454.0114942533899	830.5929233685431	1191.5812567847083	00655-17
1545.4223717448297	642.0353081493579	1198.2446506720232	00502-18
1481.211304576449	786.8419169247964	1325.2503234353724	00657-09
1579.97222074681	560.5342901378767	1244.8871197111532	00452-14
1452.0822675982597	833.8438157125871	1273.182318547355	00656-19
1571.2895722112191	579.5385739723494	1265.4964399305352	00452-18
1555.4953794465757	616.3068043373394	1368.5469277076588	00504-01
1457.4096308096064	827.0573514604176	1227.6695564394483	00655-22
1548.2316883414885	635.8641130242632	1318.2403203974	00504-16
1381.0480411641486	948.4405355485471	1325.1225005173715	00759-17
1545.1691939303462	643.9681881959043	1339.0350697546135	00504-19
1514.7087250167615	716.3674554895827	1272.738207234001	00605-07
1565.1373048848116	592.8022125091409	1324.2790605227929	00504-09
1411.6301536420615	902.704061227676	1339.6514030607186	00759-07
1499.466088512061	750.376516552415	1244.0931212643236	00605-14
1558.5811080059157	609.1355490831863	1367.2653025278778	00504-02
1572.7636278094308	623.3349136532667	1272.605067111607	00503-00
1372.7687496626047	960.5687157728643	1280.4906871510166	00809-06
1560.7517205165225	601.8013566633638	1247.3029997643978	00503-11
1472.2927901679905	802.3566795164872	1235.602084111658	00655-02
1394.6848068192664	926.523937802694	1310.256513116629	00759-13
1423.9709996390595	879.3914972371336	1247.0021729050127	00707-15
1546.5203784628848	639.9315120064584	1324.0429700310472	00504-17
1565.2513168555643	591.875970167998	1257.8769663739952	00503-09
1427.9622432595643	873.1654600046039	1234.7719584763265	00706-24
1482.9445449610114	784.3701951461472	1347.7520602730294	00657-06
1483.0941314333847	818.2462941215279	1339.899727897584	00657-00
1372.7878549871941	960.3743032626924	1198.2575835114812	00808-08
1563.6576234194258	596.9950744832211	1318.0152650185455	00504-10
1479.6236199583839	791.0372644690234	1227.7444278197288	00655-04
1502.1155119125992	743.2986864848997	1309.9053630122419	00606-13
1566.9926387092041	592.6524693142527	1287.4519255856671	00503-05
1540.6201056708749	653.4221363251262	1273.0238611970929	00554-07
1446.0362572822478	844.9948492018176	1220.8119707606056	00706-05
1499.2788393086253	750.1711117000679	1301.7235832549247	00605-24
1513.7441988891778	717.2256943204686	1346.864754023906	00606-06
1513.197336487122	720.2054566488273	1354.0055530171344	00606-05
1406.1885335908971	909.2479313375668	1251.6826892674983	00758-10
1409.735503365264	901.9715855896281	1213.812077519433	00757-06
1448.2793024587684	841.9031725132938	1205.5701406129097	00706-07
1370.1389062151547	992.7390696662269	1273.6035919387455	00809-00
1471.7781938537948	801.5812105586423	1245.0079387334188	00656-12
1390.3174050677771	933.1411249437277	1301.8760428384674	00758-24
1464.2831570297062	815.640771045905	1311.2246336151545	00657-14
1527.1134367969228	687.9632480005178	1177.9872674267103	00553-14
1591.1195265514007	526.7199678709528	1347.1881606468235	00453-06
1482.9929651940845	782.88605526356	1207.1615904732791	00655-07
1575.9827210601493	567.0838288160955	1364.703905729682	00453-23
1427.9322717207338	873.5997002621177	1368.0881387006891	00708-24
1410.3746153097175	903.0412199831019	1280.4187727481112	00758-06
1546.4011689757824	639.3464917738714	1221.092473671687	00502-21
1557.1456443697512	615.9655662634627	1176.382269554351	00502-13
1408.7698923091605	905.6326545156301	1191.0466902209153	00757-09
1440.7625620912243	854.9928691395031	1179.8853713653002	00706-11
1529.8139654747463	680.7676882064625	1176.757765553499	00553-13
1356.478534315647	982.9558446076012	1370.2900529365297	00810-01
1541.3942216112296	653.5194852855442	1206.5554584902236	00553-07
1571.710726120628	579.547822984915	1199.2831330919234	00451-18
1518.2566528277832	707.1570355670665	1281.222748898403	00554-20
1502.4371309668397	743.1798477792403	1243.090133050773	00605-13
1533.228788803652	673.9277991059726	1177.8834138015322	00553-12
1556.1771142057796	615.8844120065316	1302.5468790695907	00503-01
1537.375543647236	661.5150892272511	1252.070521365693	00554-10
1369.9490689717875	992.1068570741808	1340.0919286166522	00810-00
1348.5441406266214	996.2748257369135	1314.3290090170751	00810-15
1482.696540340436	784.244181304831	1332.4757210403932	00657-08
1521.4841805585254	700.0690613647221	1227.5086525669835	00553-22
1378.2789840740897	950.3098422632604	1214.4260702989989	00757-20
1481.770690580809	817.5264901200029	1273.4190998598551	00656-00
1445.6556429244865	875.6902332266807	1205.8776670185835	00706-00
1582.5562651472983	553.5313377534387	1243.8730104515273	00452-13
1447.4451312665824	842.5950190711476	1280.307963668917	00707-06
1443.7194410097254	849.7561112075052	1318.3169103650657	00708-10
1420.4432358389743	884.2716625286239	1252.1216959006617	00707-16
1508.5812683270792	730.1790701377975	1313.7017361590238	00606-11
1443.0656401036952	849.1123573083149	1293.5817813647964	00707-04
1520.3800127481059	700.0320371756759	1360.365973880328	00555-22
1567.2245441853581	589.6879315818759	1280.2738557353932	00503-06
1571.4263156167435	580.8024057718372	1272.983038409671	00452-19
1502.3601563403047	743.4173591579365	1369.0640987696538	00606-01
1493.267273588913	761.9913342101183	1294.0647108710043	00605-22
1535.3840703403826	667.0122986315108	1180.8267203192972	00553-11
1418.1700290070617	888.2623576620089	1258.0348451085492	00707-17
1514.6000324303122	717.3012030735987	1280.569071201569	00605-06
1510.8549866885637	724.08902528581	1293.8095089512074	00605-04
