feature_id	image_id	x	y
00656-21	045	2759.5986591693927	2621.2463727217755
00657-04	045	2971.4550949281447	2305.2973956340456
00555-01	045	3526.304320379045	2265.7586169459623
00758-11	045	2328.920094457478	2789.4756621901497
00708-00	045	2566.3950708338743	2387.30191353842
00606-23	045	3143.2509091962966	2285.937932744607
00810-14	045	1933.5047675261624	2524.518843679836
00657-02	045	2912.7529937611544	2273.6868688664144
00606-14	045	3171.1138254400366	2520.943903003319
00604-20	045	3066.2261889635743	2925.8829930541915
00605-15	045	3131.8186705118737	2790.127803156086
00502-00	045	3833.257245950822	2969.0355988713663
00758-22	045	2171.421706003303	2597.9875787363944
00605-00	045	3195.326725296799	2656.239420721494
00605-08	045	3331.1692516963794	2719.899944347182
00656-23	045	2808.168328290798	2575.0638828042097
00758-09	045	2376.0356534084412	2746.1876586434837
00808-00	045	1985.7195700797952	2910.7289505319795
00708-14	045	2537.1596761704454	2529.4554051841783
00808-20	045	1857.7330095832647	2907.265188193658
00553-00	045	3492.756385262569	2942.9240075883517
00657-11	045	2941.9140402977037	2508.194665725752
00605-17	045	3086.0986381335865	2744.6958285543847
00604-07	045	3328.1639182728513	2969.4209776731395
00605-19	045	3068.919044418134	2681.8654877791
00606-07	045	3343.8170747613785	2398.9985217442113
00657-10	045	2969.3719386456205	2487.3348335884266
00808-07	045	2102.3214728719536	2943.3713120544917
00555-15	045	3451.5126287092717	2512.950795642364
00604-06	045	3323.5115753348805	2936.2488497855675
00757-19	045	2140.7198435449905	2944.506645978322
00706-23	045	2506.9115140833874	2854.399878470363
00810-18	045	1841.2562781159254	2436.0992897338315
00759-20	045	2134.0807678730457	2374.146054855739
00657-21	045	2762.6160733027223	2338.1158969987696
00809-19	045	1843.1268485255946	2677.5722440072723
00759-19	045	2131.325214770145	2406.322110286149
00605-20	045	3074.3100864718813	2649.547440716479
00808-21	045	1868.3563536268152	2879.336937388296
00657-23	045	2811.28792162386	2290.358988271446
00759-03	045	2324.987437358886	2297.092806960913
00555-11	045	3590.407441970961	2514.8028029497204
00759-15	045	2198.5361765579473	2515.358601229799
00555-24	045	3491.473518346791	2271.7485885295346
00759-04	045	2352.0004601160203	2318.062054596243
00604-05	045	3310.3333120965112	2905.7153192471515
00708-15	045	2506.602533873839	2518.3410809748184
00706-21	045	2458.432608503396	2897.3746017820786
00655-20	045	2740.1457953949603	2920.795198736838
00657-18	045	2747.814946567531	2435.319511131477
00757-22	045	2177.60426086494	2863.91006592168
00707-19	045	2441.8049561671814	2687.357209447557
00759-02	045	2293.022963255274	2284.643819582823
00757-04	045	2357.11213615276	2869.3387076983217
00810-08	045	2086.5284287836107	2440.628420336501
00605-01	045	3206.5089811175762	2557.301671311237
00809-23	045	1902.492004004357	2573.5559515606938
00555-02	045	3561.9654466506213	2270.937951688834
00707-08	045	2698.466548917368	2717.24674236185
00656-15	045	2807.1571615926755	2788.151333161628
00606-22	045	3115.270801688819	2307.1218592080772
00708-04	045	2665.803600481433	2314.2691090704266
00810-21	045	1850.7345387744083	2342.3784848206233
00810-07	045	2090.3282586538717	2407.881217447874
00707-10	045	2663.191686590876	2771.810961710352
00606-00	045	3200.7240852251743	2377.2704331635855
00757-01	045	2268.3604434672143	2830.421705586002
00708-11	045	2637.7487203210776	2515.4648305720334
00604-03	045	3264.2734415727377	2859.0807832753594
00708-12	045	2605.960245067589	2528.361409348163
00706-04	045	2661.7043481017813	2871.4924537434986
00604-02	045	3230.827173065156	2844.116790093468
00708-03	045	2638.1959734657103	2295.11407066844
00810-19	045	1835.3024005910183	2404.1146467338044
00758-15	045	2200.9072522069337	2786.292500660582
00809-14	045	1940.7105196882342	2791.9521604704987
00757-21	045	2157.9816605229094	2887.6391326152116
00656-07	045	3003.381132301976	2676.3489314078574
00554-01	045	3519.0137810948	2559.774992549347
00759-10	045	2355.0560548295352	2496.014758479403
00809-03	045	2030.0708613665927	2576.6418195969777
00606-12	046	2462.730440090153	2575.198528712151
00708-20	046	1663.911831973341	2417.164884712311
00809-12	046	1264.5438799431818	2820.824624526265
00606-20	046	2297.0241658744035	2415.027174758434
00708-23	046	1721.4890246533	2339.686477027528
00452-03	046	3460.0360201456106	2636.339316637971
00656-17	046	1992.4928571864946	2787.80743306806
00810-24	046	1168.268988578226	2317.0173113828687
00657-07	046	2227.150045346165	2445.0461792371298
00502-02	046	3097.3184953253694	2913.387757747636
00655-24	046	2073.6130978991464	2878.9651860806707
00553-21	046	2619.9744661710506	2952.9206865277383
00605-03	046	2497.3373758238567	2629.629163967486
00808-04	046	1323.9775870865712	2888.8626990082685
00758-01	046	1498.190998680769	2596.272052026839
00707-09	046	1918.391222651864	2789.1882260857165
00657-20	046	1964.8622401674168	2415.6162937776076
00504-08	046	3202.839917692958	2491.2509693998063
00453-12	046	3426.915673048703	2581.5132409508938
00810-10	046	1298.645838107098	2526.078539035956
00808-24	046	1207.6707369428023	2853.571519872721
00453-18	046	3256.9532953623893	2490.123086622185
00808-19	046	1130.4692416824914	2958.5757417640652
00503-22	046	2969.63954399652	2658.41579338016
00758-21	046	1395.0211139173862	2654.6485813328186
00810-11	046	1274.1021760679828	2545.313817262496
00606-09	046	2544.805439405293	2518.404596939517
00453-15	046	3320.57099908099	2567.994737720399
00656-01	046	2098.20907705879	2602.2088937588687
00555-03	046	2810.393518487246	2338.952854683378
00554-23	046	2673.8234793062556	2632.111930948271
00758-02	046	1530.8543948544352	2602.4609277212708
00555-16	046	2643.7749884173863	2545.0080070351532
00504-20	046	2936.0514978867864	2423.107674150109
00606-24	046	2391.088938444094	2324.41932407122
00453-17	046	3270.2585467593713	2520.4509823893723
00503-23	046	2999.0523305925813	2638.6660763910113
00553-02	046	2772.4992364451628	2901.8005897520197
00708-01	046	1786.5563877367604	2320.8472349254016
00706-22	046	1722.8877641308277	2909.161077767594
00707-00	046	1814.5276794001816	2698.749782621127
00656-11	046	2171.5170058708345	2832.427639567458
00708-21	046	1675.8402522224683	2385.970931730616
00657-17	046	1982.6543584133797	2512.628760201896
00504-13	046	3066.2994078432985	2586.5463782766064
00554-00	046	2740.6512981427322	2712.7531433257645
00707-24	046	1765.8463356759341	2608.7448821937296
00758-08	046	1627.219095099166	2755.342247639418
00656-10	046	2198.6486580606734	2812.840128440591
00758-17	046	1402.2517262826273	2773.4992413829204
00656-04	046	2194.163725129583	2636.557291298075
00759-05	046	1595.7066826036398	2383.346334411604
00809-05	046	1325.1640701544775	2650.8004035997974
00656-22	046	2007.0758935066558	2639.808758086817
00758-07	046	1628.7185712915373	2723.1951139996318
00809-24	046	1185.051134317182	2590.3194565205135
00656-20	046	1975.4405603319028	2695.959258783298
00554-16	046	2643.1734477608647	2828.495430957306
00504-11	046	3135.600805191835	2570.950866816411
00555-14	046	2704.9302852906094	2580.6665244715746
00503-17	046	2943.502279828007	2813.3805351769925
00808-23	046	1179.1010420788898	2863.676687849194
00810-03	046	1261.0565953267615	2332.4394956070014
00707-13	046	1810.5724489751149	2846.0722420965785
00605-10	046	2525.787021573834	2825.999856462223
00758-19	046	1383.0083641688025	2712.5557951191495
00707-23	046	1735.5902113554646	2620.0673935399695
00656-13	046	2106.6721149757464	2848.115074519406
00657-22	046	1997.324137958822	2357.6280340624385
00606-17	046	2312.577348493172	2514.2917883258233
00706-06	046	1938.749070656973	2965.068311220071
00554-13	046	2737.385977388564	2865.714266635191
00504-18	046	2935.491862890941	2490.402715316088
00810-13	046	1215.652028958396	2557.786840637984
00555-05	046	2860.824089178027	2387.340749462175
00708-13	046	1796.2899841247624	2574.8154759058925
00452-21	046	3266.5870224989203	2685.250252283671
00555-18	046	2607.9898066480405	2487.3903615497193
00453-01	046	3394.4972027845097	2313.1424142389087
00452-09	046	3508.6910269794344	2821.332035584519
00504-15	046	2998.5408809286837	2570.156348960305
00655-23	046	2042.5688583313122	2890.7420833639417
00555-17	046	2622.621893452097	2517.946504247693
00810-02	046	1231.9106267492757	2318.532118299304
00707-01	046	1799.1102259357415	2604.211977889431
00452-08	046	3523.229604432488	2789.0846267050474
00809-16	046	1148.1289113869236	2785.237160693145
00657-16	046	2004.3322241591636	2538.114645601815
00453-14	046	3352.7884450724423	2580.7690939203685
00809-09	046	1332.8497976066046	2771.5762991788083
00453-13	046	3389.0110758069386	2585.3208911911406
00758-20	046	1385.0322532241657	2682.174550048071
00504-00	046	3057.5597628212936	2432.5595215056433
00759-18	046	1372.4305311182543	2472.684600697555
00808-05	046	1345.7872635264198	2914.1981120647824
00606-21	046	2310.1824930922185	2383.7378278947485
00810-16	046	1129.5622825524797	2519.646901086177
00452-16	046	3283.0800829125	2841.937144321237
00809-01	046	1216.7201092985545	2586.8245972296013
00759-11	046	1559.3690828161439	2552.136980099001
00757-23	046	1456.0080189441062	2876.2159525289744
00809-07	046	1344.3963967106602	2713.09811510528
00554-15	046	2671.150496238228	2848.974887978774
00759-06	046	1610.269735124087	2412.765477693705
00657-13	046	2097.9568585682673	2574.9841280737446
00758-00	046	1522.6264944467712	2692.2757879946676
